Name,#,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Total
Nidoran♀,29,Poison,,55,47,52,40,40,41,1,0,275
Nidorina,30,Poison,,70,62,67,55,55,56,1,0,365
Nidoqueen,31,Poison,Ground,90,92,87,75,85,76,1,0,505
Nidoran♂,32,Poison,,46,57,40,40,40,50,1,0,273
Nidorino,33,Poison,,61,72,57,55,55,65,1,0,365
Nidoking,34,Poison,Ground,81,102,77,85,75,85,1,0,505
Clefairy,35,Fairy,,70,45,48,60,65,35,1,0,323
Clefable,36,Fairy,,95,70,73,95,90,60,1,0,483
Vulpix,37,Fire,,38,41,40,50,65,65,1,0,299
Ninetales,38,Fire,,73,76,75,81,100,100,1,0,505
Jigglypuff,39,Normal,Fairy,115,45,20,45,25,20,1,0,270
Wigglytuff,40,Normal,Fairy,140,70,45,85,50,45,1,0,435
Zubat,41,Poison,Flying,40,45,35,30,40,55,1,0,245
Golbat,42,Poison,Flying,75,80,70,65,75,90,1,0,455
Oddish,43,Grass,Poison,45,50,55,75,65,30,1,0,320
Gloom,44,Grass,Poison,60,65,70,85,75,40,1,0,395
Vileplume,45,Grass,Poison,75,80,85,110,90,50,1,0,490
Paras,46,Bug,Grass,35,70,55,45,55,25,1,0,285
Parasect,47,Bug,Grass,60,95,80,60,80,30,1,0,405
Venonat,48,Bug,Poison,60,55,50,40,55,45,1,0,305
Venomoth,49,Bug,Poison,70,65,60,90,75,90,1,0,450
Diglett,50,Ground,,10,55,25,35,45,95,1,0,265
Dugtrio,51,Ground,,35,80,50,50,70,120,1,0,405
Meowth,52,Normal,,40,45,35,40,40,90,1,0,290
Persian,53,Normal,,65,70,60,65,65,115,1,0,440
Psyduck,54,Water,,50,52,48,65,50,55,1,0,320
Golduck,55,Water,,80,82,78,95,80,85,1,0,500
Mankey,56,Fighting,,40,80,35,35,45,70,1,0,305
Primeape,57,Fighting,,65,105,60,60,70,95,1,0,455
Growlithe,58,Fire,,55,70,45,70,50,60,1,0,350
Arcanine,59,Fire,,90,110,80,100,80,95,1,0,555
Poliwag,60,Water,,40,50,40,40,40,90,1,0,300
Poliwhirl,61,Water,,65,65,65,50,50,90,1,0,385
Poliwrath,62,Water,Fighting,90,95,95,70,90,70,1,0,510
Abra,63,Psychic,,25,20,15,105,55,90,1,0,310
Kadabra,64,Psychic,,40,35,30,120,70,105,1,0,400
Alakazam,65,Psychic,,55,50,45,135,95,120,1,0,500
AlakazamMega Alakazam,65,Psychic,,55,50,65,175,95,150,1,0,590
Machop,66,Fighting,,70,80,50,35,35,35,1,0,305
Machoke,67,Fighting,,80,100,70,50,60,45,1,0,405
Machamp,68,Fighting,,90,130,80,65,85,55,1,0,505
Bellsprout,69,Grass,Poison,50,75,35,70,30,40,1,0,300
Weepinbell,70,Grass,Poison,65,90,50,85,45,55,1,0,390
Victreebel,71,Grass,Poison,80,105,65,100,70,70,1,0,490
Tentacool,72,Water,Poison,40,40,35,50,100,70,1,0,335
Tentacruel,73,Water,Poison,80,70,65,80,120,100,1,0,515
Geodude,74,Rock,Ground,40,80,100,30,30,20,1,0,300
Graveler,75,Rock,Ground,55,95,115,45,45,35,1,0,390
Golem,76,Rock,Ground,80,120,130,55,65,45,1,0,495
Ponyta,77,Fire,,50,85,55,65,65,90,1,0,410
Rapidash,78,Fire,,65,100,70,80,80,105,1,0,500
Slowpoke,79,Water,Psychic,90,65,65,40,40,15,1,0,315
Slowbro,80,Water,Psychic,95,75,110,100,80,30,1,0,490
SlowbroMega Slowbro,80,Water,Psychic,95,75,180,130,80,30,1,0,590
Magnemite,81,Electric,Steel,25,35,70,95,55,45,1,0,325
Magneton,82,Electric,Steel,50,60,95,120,70,70,1,0,465
Farfetch'd,83,Normal,Flying,52,65,55,58,62,60,1,0,352
Doduo,84,Normal,Flying,35,85,45,35,35,75,1,0,310
Dodrio,85,Normal,Flying,60,110,70,60,60,100,1,0,460
Seel,86,Water,,65,45,55,45,70,45,1,0,325
Dewgong,87,Water,Ice,90,70,80,70,95,70,1,0,475
Grimer,88,Poison,,80,80,50,40,50,25,1,0,325
Muk,89,Poison,,105,105,75,65,100,50,1,0,500
Shellder,90,Water,,30,65,100,45,25,40,1,0,305
Cloyster,91,Water,Ice,50,95,180,85,45,70,1,0,525
Gastly,92,Ghost,Poison,30,35,30,100,35,80,1,0,310
Haunter,93,Ghost,Poison,45,50,45,115,55,95,1,0,405
Gengar,94,Ghost,Poison,60,65,60,130,75,110,1,0,500
GengarMega Gengar,94,Ghost,Poison,60,65,80,170,95,130,1,0,600
Onix,95,Rock,Ground,35,45,160,30,45,70,1,0,385
Drowzee,96,Psychic,,60,48,45,43,90,42,1,0,328
Hypno,97,Psychic,,85,73,70,73,115,67,1,0,483
Krabby,98,Water,,30,105,90,25,25,50,1,0,325
Kingler,99,Water,,55,130,115,50,50,75,1,0,475
Voltorb,100,Electric,,40,30,50,55,55,100,1,0,330
Electrode,101,Electric,,60,50,70,80,80,140,1,0,480
Exeggcute,102,Grass,Psychic,60,40,80,60,45,40,1,0,325
Exeggutor,103,Grass,Psychic,95,95,85,125,65,55,1,0,520
Cubone,104,Ground,,50,50,95,40,50,35,1,0,320
Marowak,105,Ground,,60,80,110,50,80,45,1,0,425
Hitmonlee,106,Fighting,,50,120,53,35,110,87,1,0,455
Hitmonchan,107,Fighting,,50,105,79,35,110,76,1,0,455
Lickitung,108,Normal,,90,55,75,60,75,30,1,0,385
Koffing,109,Poison,,40,65,95,60,45,35,1,0,340
Weezing,110,Poison,,65,90,120,85,70,60,1,0,490
Rhyhorn,111,Ground,Rock,80,85,95,30,30,25,1,0,345
Rhydon,112,Ground,Rock,105,130,120,45,45,40,1,0,485
Chansey,113,Normal,,250,5,5,35,105,50,1,0,450
Tangela,114,Grass,,65,55,115,100,40,60,1,0,435
Kangaskhan,115,Normal,,105,95,80,40,80,90,1,0,490
KangaskhanMega Kangaskhan,115,Normal,,105,125,100,60,100,100,1,0,590
Horsea,116,Water,,30,40,70,70,25,60,1,0,295
Seadra,117,Water,,55,65,95,95,45,85,1,0,440
Goldeen,118,Water,,45,67,60,35,50,63,1,0,320
Seaking,119,Water,,80,92,65,65,80,68,1,0,450
Staryu,120,Water,,30,45,55,70,55,85,1,0,340
Starmie,121,Water,Psychic,60,75,85,100,85,115,1,0,520
Mr. Mime,122,Psychic,Fairy,40,45,65,100,120,90,1,0,460
Scyther,123,Bug,Flying,70,110,80,55,80,105,1,0,500
Jynx,124,Ice,Psychic,65,50,35,115,95,95,1,0,455
Electabuzz,125,Electric,,65,83,57,95,85,105,1,0,490
Magmar,126,Fire,,65,95,57,100,85,93,1,0,495
Pinsir,127,Bug,,65,125,100,55,70,85,1,0,500
PinsirMega Pinsir,127,Bug,Flying,65,155,120,65,90,105,1,0,600
Tauros,128,Normal,,75,100,95,40,70,110,1,0,490
Magikarp,129,Water,,20,10,55,15,20,80,1,0,200
Gyarados,130,Water,Flying,95,125,79,60,100,81,1,0,540
GyaradosMega Gyarados,130,Water,Dark,95,155,109,70,130,81,1,0,640
Lapras,131,Water,Ice,130,85,80,85,95,60,1,0,535
Ditto,132,Normal,,48,48,48,48,48,48,1,0,288
Eevee,133,Normal,,55,55,50,45,65,55,1,0,325
Vaporeon,134,Water,,130,65,60,110,95,65,1,0,525
Jolteon,135,Electric,,65,65,60,110,95,130,1,0,525
Flareon,136,Fire,,65,130,60,95,110,65,1,0,525
Porygon,137,Normal,,65,60,70,85,75,40,1,0,395
Omanyte,138,Rock,Water,35,40,100,90,55,35,1,0,355
Omastar,139,Rock,Water,70,60,125,115,70,55,1,0,495
Kabuto,140,Rock,Water,30,80,90,55,45,55,1,0,355
Kabutops,141,Rock,Water,60,115,105,65,70,80,1,0,495
Aerodactyl,142,Rock,Flying,80,105,65,60,75,130,1,0,515
AerodactylMega Aerodactyl,142,Rock,Flying,80,135,85,70,95,150,1,0,615
Snorlax,143,Normal,,160,110,65,65,110,30,1,0,540
Articuno,144,Ice,Flying,90,85,100,95,125,85,1,1,580
Zapdos,145,Electric,Flying,90,90,85,125,90,100,1,1,580
Moltres,146,Fire,Flying,90,100,90,125,85,90,1,1,580
Dratini,147,Dragon,,41,64,45,50,50,50,1,0,300
Dragonair,148,Dragon,,61,84,65,70,70,70,1,0,420
Dragonite,149,Dragon,Flying,91,134,95,100,100,80,1,0,600
Mewtwo,150,Psychic,,106,110,90,154,90,130,1,1,680
MewtwoMega Mewtwo X,150,Psychic,Fighting,106,190,100,154,100,130,1,1,780
MewtwoMega Mewtwo Y,150,Psychic,,106,150,70,194,120,140,1,1,780
Mew,151,Psychic,,100,100,100,100,100,100,1,0,600
Chikorita,152,Grass,,45,49,65,49,65,45,2,0,318
Bayleef,153,Grass,,60,62,80,63,80,60,2,0,405
Meganium,154,Grass,,80,82,100,83,100,80,2,0,525
Cyndaquil,155,Fire,,39,52,43,60,50,65,2,0,309
Quilava,156,Fire,,58,64,58,80,65,80,2,0,405
Typhlosion,157,Fire,,78,84,78,109,85,100,2,0,534
Totodile,158,Water,,50,65,64,44,48,43,2,0,314
Croconaw,159,Water,,65,80,80,59,63,58,2,0,405
Feraligatr,160,Water,,85,105,100,79,83,78,2,0,530
Sentret,161,Normal,,35,46,34,35,45,20,2,0,215
Furret,162,Normal,,85,76,64,45,55,90,2,0,415
Hoothoot,163,Normal,Flying,60,30,30,36,56,50,2,0,262
Noctowl,164,Normal,Flying,100,50,50,76,96,70,2,0,442
Ledyba,165,Bug,Flying,40,20,30,40,80,55,2,0,265
Ledian,166,Bug,Flying,55,35,50,55,110,85,2,0,390
Spinarak,167,Bug,Poison,40,60,40,40,40,30,2,0,250
Ariados,168,Bug,Poison,70,90,70,60,60,40,2,0,390
Crobat,169,Poison,Flying,85,90,80,70,80,130,2,0,535
Chinchou,170,Water,Electric,75,38,38,56,56,67,2,0,330
Lanturn,171,Water,Electric,125,58,58,76,76,67,2,0,460
Pichu,172,Electric,,20,40,15,35,35,60,2,0,205
Cleffa,173,Fairy,,50,25,28,45,55,15,2,0,218
Igglybuff,174,Normal,Fairy,90,30,15,40,20,15,2,0,210
Togepi,175,Fairy,,35,20,65,40,65,20,2,0,245
Togetic,176,Fairy,Flying,55,40,85,80,105,40,2,0,405
Natu,177,Psychic,Flying,40,50,45,70,45,70,2,0,320
Xatu,178,Psychic,Flying,65,75,70,95,70,95,2,0,470
Mareep,179,Electric,,55,40,40,65,45,35,2,0,280
Flaaffy,180,Electric,,70,55,55,80,60,45,2,0,365
Ampharos,181,Electric,,90,75,85,115,90,55,2,0,510
AmpharosMega Ampharos,181,Electric,Dragon,90,95,105,165,110,45,2,0,610
Bellossom,182,Grass,,75,80,95,90,100,50,2,0,490
Marill,183,Water,Fairy,70,20,50,20,50,40,2,0,250
Azumarill,184,Water,Fairy,100,50,80,60,80,50,2,0,420
Sudowoodo,185,Rock,,70,100,115,30,65,30,2,0,410
Politoed,186,Water,,90,75,75,90,100,70,2,0,500
Hoppip,187,Grass,Flying,35,35,40,35,55,50,2,0,250
Skiploom,188,Grass,Flying,55,45,50,45,65,80,2,0,340
Jumpluff,189,Grass,Flying,75,55,70,55,95,110,2,0,460
Aipom,190,Normal,,55,70,55,40,55,85,2,0,360
Sunkern,191,Grass,,30,30,30,30,30,30,2,0,180
Sunflora,192,Grass,,75,75,55,105,85,30,2,0,425
Yanma,193,Bug,Flying,65,65,45,75,45,95,2,0,390
Wooper,194,Water,Ground,55,45,45,25,25,15,2,0,210
Quagsire,195,Water,Ground,95,85,85,65,65,35,2,0,430
Espeon,196,Psychic,,65,65,60,130,95,110,2,0,525
Umbreon,197,Dark,,95,65,110,60,130,65,2,0,525
Murkrow,198,Dark,Flying,60,85,42,85,42,91,2,0,405
Slowking,199,Water,Psychic,95,75,80,100,110,30,2,0,490
Misdreavus,200,Ghost,,60,60,60,85,85,85,2,0,435
Unown,201,Psychic,,48,72,48,72,48,48,2,0,336
Wobbuffet,202,Psychic,,190,33,58,33,58,33,2,0,405
Girafarig,203,Normal,Psychic,70,80,65,90,65,85,2,0,455
Pineco,204,Bug,,50,65,90,35,35,15,2,0,290
Forretress,205,Bug,Steel,75,90,140,60,60,40,2,0,465
Dunsparce,206,Normal,,100,70,70,65,65,45,2,0,415
Gligar,207,Ground,Flying,65,75,105,35,65,85,2,0,430
Steelix,208,Steel,Ground,75,85,200,55,65,30,2,0,510
SteelixMega Steelix,208,Steel,Ground,75,125,230,55,95,30,2,0,610
Snubbull,209,Fairy,,60,80,50,40,40,30,2,0,300
Granbull,210,Fairy,,90,120,75,60,60,45,2,0,450
Qwilfish,211,Water,Poison,65,95,75,55,55,85,2,0,430
Scizor,212,Bug,Steel,70,130,100,55,80,65,2,0,500
ScizorMega Scizor,212,Bug,Steel,70,150,140,65,100,75,2,0,600
Shuckle,213,Bug,Rock,20,10,230,10,230,5,2,0,505
Heracross,214,Bug,Fighting,80,125,75,40,95,85,2,0,500
HeracrossMega Heracross,214,Bug,Fighting,80,185,115,40,105,75,2,0,600
Sneasel,215,Dark,Ice,55,95,55,35,75,115,2,0,430
Teddiursa,216,Normal,,60,80,50,50,50,40,2,0,330
Ursaring,217,Normal,,90,130,75,75,75,55,2,0,500
Slugma,218,Fire,,40,40,40,70,40,20,2,0,250
Magcargo,219,Fire,Rock,50,50,120,80,80,30,2,0,410
Swinub,220,Ice,Ground,50,50,40,30,30,50,2,0,250
Piloswine,221,Ice,Ground,100,100,80,60,60,50,2,0,450
Corsola,222,Water,Rock,55,55,85,65,85,35,2,0,380
Remoraid,223,Water,,35,65,35,65,35,65,2,0,300
Octillery,224,Water,,75,105,75,105,75,45,2,0,480
Delibird,225,Ice,Flying,45,55,45,65,45,75,2,0,330
Mantine,226,Water,Flying,65,40,70,80,140,70,2,0,465
Skarmory,227,Steel,Flying,65,80,140,40,70,70,2,0,465
Houndour,228,Dark,Fire,45,60,30,80,50,65,2,0,330
Houndoom,229,Dark,Fire,75,90,50,110,80,95,2,0,500
HoundoomMega Houndoom,229,Dark,Fire,75,90,90,140,90,115,2,0,600
Kingdra,230,Water,Dragon,75,95,95,95,95,85,2,0,540
Phanpy,231,Ground,,90,60,60,40,40,40,2,0,330
Donphan,232,Ground,,90,120,120,60,60,50,2,0,500
Porygon2,233,Normal,,85,80,90,105,95,60,2,0,515
Stantler,234,Normal,,73,95,62,85,65,85,2,0,465
Smeargle,235,Normal,,55,20,35,20,45,75,2,0,250
Tyrogue,236,Fighting,,35,35,35,35,35,35,2,0,210
Hitmontop,237,Fighting,,50,95,95,35,110,70,2,0,455
Smoochum,238,Ice,Psychic,45,30,15,85,65,65,2,0,305
Elekid,239,Electric,,45,63,37,65,55,95,2,0,360
Magby,240,Fire,,45,75,37,70,55,83,2,0,365
Miltank,241,Normal,,95,80,105,40,70,100,2,0,490
Blissey,242,Normal,,255,10,10,75,135,55,2,0,540
Raikou,243,Electric,,90,85,75,115,100,115,2,1,580
Entei,244,Fire,,115,115,85,90,75,100,2,1,580
Suicune,245,Water,,100,75,115,90,115,85,2,1,580
Larvitar,246,Rock,Ground,50,64,50,45,50,41,2,0,300
Pupitar,247,Rock,Ground,70,84,70,65,70,51,2,0,410
Tyranitar,248,Rock,Dark,100,134,110,95,100,61,2,0,600
TyranitarMega Tyranitar,248,Rock,Dark,100,164,150,95,120,71,2,0,700
Lugia,249,Psychic,Flying,106,90,130,90,154,110,2,1,680
Ho-oh,250,Fire,Flying,106,130,90,110,154,90,2,1,680
Celebi,251,Psychic,Grass,100,100,100,100,100,100,2,0,600
Treecko,252,Grass,,40,45,35,65,55,70,3,0,310
Grovyle,253,Grass,,50,65,45,85,65,95,3,0,405
Sceptile,254,Grass,,70,85,65,105,85,120,3,0,530
SceptileMega Sceptile,254,Grass,Dragon,70,110,75,145,85,145,3,0,630
Torchic,255,Fire,,45,60,40,70,50,45,3,0,310
Combusken,256,Fire,Fighting,60,85,60,85,60,55,3,0,405
Blaziken,257,Fire,Fighting,80,120,70,110,70,80,3,0,530
BlazikenMega Blaziken,257,Fire,Fighting,80,160,80,130,80,100,3,0,630
Mudkip,258,Water,,50,70,50,50,50,40,3,0,310
Marshtomp,259,Water,Ground,70,85,70,60,70,50,3,0,405
Swampert,260,Water,Ground,100,110,90,85,90,60,3,0,535
SwampertMega Swampert,260,Water,Ground,100,150,110,95,110,70,3,0,635
Poochyena,261,Dark,,35,55,35,30,30,35,3,0,220
Mightyena,262,Dark,,70,90,70,60,60,70,3,0,420
Zigzagoon,263,Normal,,38,30,41,30,41,60,3,0,240
Linoone,264,Normal,,78,70,61,50,61,100,3,0,420
Wurmple,265,Bug,,45,45,35,20,30,20,3,0,195
Silcoon,266,Bug,,50,35,55,25,25,15,3,0,205
Beautifly,267,Bug,Flying,60,70,50,100,50,65,3,0,395
Cascoon,268,Bug,,50,35,55,25,25,15,3,0,205
Dustox,269,Bug,Poison,60,50,70,50,90,65,3,0,385
Lotad,270,Water,Grass,40,30,30,40,50,30,3,0,220
Lombre,271,Water,Grass,60,50,50,60,70,50,3,0,340
Ludicolo,272,Water,Grass,80,70,70,90,100,70,3,0,480
Seedot,273,Grass,,40,40,50,30,30,30,3,0,220
Nuzleaf,274,Grass,Dark,70,70,40,60,40,60,3,0,340
Shiftry,275,Grass,Dark,90,100,60,90,60,80,3,0,480
Taillow,276,Normal,Flying,40,55,30,30,30,85,3,0,270
Swellow,277,Normal,Flying,60,85,60,50,50,125,3,0,430
Wingull,278,Water,Flying,40,30,30,55,30,85,3,0,270
Pelipper,279,Water,Flying,60,50,100,85,70,65,3,0,430
Ralts,280,Psychic,Fairy,28,25,25,45,35,40,3,0,198
Kirlia,281,Psychic,Fairy,38,35,35,65,55,50,3,0,278
Gardevoir,282,Psychic,Fairy,68,65,65,125,115,80,3,0,518
GardevoirMega Gardevoir,282,Psychic,Fairy,68,85,65,165,135,100,3,0,618
Surskit,283,Bug,Water,40,30,32,50,52,65,3,0,269
Masquerain,284,Bug,Flying,70,60,62,80,82,60,3,0,414
Shroomish,285,Grass,,60,40,60,40,60,35,3,0,295
Breloom,286,Grass,Fighting,60,130,80,60,60,70,3,0,460
Slakoth,287,Normal,,60,60,60,35,35,30,3,0,280
Vigoroth,288,Normal,,80,80,80,55,55,90,3,0,440
Slaking,289,Normal,,150,160,100,95,65,100,3,0,670
Nincada,290,Bug,Ground,31,45,90,30,30,40,3,0,266
Ninjask,291,Bug,Flying,61,90,45,50,50,160,3,0,456
Shedinja,292,Bug,Ghost,1,90,45,30,30,40,3,0,236
Whismur,293,Normal,,64,51,23,51,23,28,3,0,240
Loudred,294,Normal,,84,71,43,71,43,48,3,0,360
Exploud,295,Normal,,104,91,63,91,73,68,3,0,490
Makuhita,296,Fighting,,72,60,30,20,30,25,3,0,237
Hariyama,297,Fighting,,144,120,60,40,60,50,3,0,474
Azurill,298,Normal,Fairy,50,20,40,20,40,20,3,0,190
Nosepass,299,Rock,,30,45,135,45,90,30,3,0,375
Skitty,300,Normal,,50,45,45,35,35,50,3,0,260
Delcatty,301,Normal,,70,65,65,55,55,70,3,0,380
Sableye,302,Dark,Ghost,50,75,75,65,65,50,3,0,380
SableyeMega Sableye,302,Dark,Ghost,50,85,125,85,115,20,3,0,480
Mawile,303,Steel,Fairy,50,85,85,55,55,50,3,0,380
MawileMega Mawile,303,Steel,Fairy,50,105,125,55,95,50,3,0,480
Aron,304,Steel,Rock,50,70,100,40,40,30,3,0,330
Lairon,305,Steel,Rock,60,90,140,50,50,40,3,0,430
Aggron,306,Steel,Rock,70,110,180,60,60,50,3,0,530
AggronMega Aggron,306,Steel,,70,140,230,60,80,50,3,0,630
Meditite,307,Fighting,Psychic,30,40,55,40,55,60,3,0,280
Medicham,308,Fighting,Psychic,60,60,75,60,75,80,3,0,410
MedichamMega Medicham,308,Fighting,Psychic,60,100,85,80,85,100,3,0,510
Electrike,309,Electric,,40,45,40,65,40,65,3,0,295
Manectric,310,Electric,,70,75,60,105,60,105,3,0,475
ManectricMega Manectric,310,Electric,,70,75,80,135,80,135,3,0,575
Plusle,311,Electric,,60,50,40,85,75,95,3,0,405
Minun,312,Electric,,60,40,50,75,85,95,3,0,405
Volbeat,313,Bug,,65,73,55,47,75,85,3,0,400
Illumise,314,Bug,,65,47,55,73,75,85,3,0,400
Roselia,315,Grass,Poison,50,60,45,100,80,65,3,0,400
Gulpin,316,Poison,,70,43,53,43,53,40,3,0,302
Swalot,317,Poison,,100,73,83,73,83,55,3,0,467
Carvanha,318,Water,Dark,45,90,20,65,20,65,3,0,305
Sharpedo,319,Water,Dark,70,120,40,95,40,95,3,0,460
SharpedoMega Sharpedo,319,Water,Dark,70,140,70,110,65,105,3,0,560
Wailmer,320,Water,,130,70,35,70,35,60,3,0,400
Wailord,321,Water,,170,90,45,90,45,60,3,0,500
Numel,322,Fire,Ground,60,60,40,65,45,35,3,0,305
Camerupt,323,Fire,Ground,70,100,70,105,75,40,3,0,460
CameruptMega Camerupt,323,Fire,Ground,70,120,100,145,105,20,3,0,560
Torkoal,324,Fire,,70,85,140,85,70,20,3,0,470
Spoink,325,Psychic,,60,25,35,70,80,60,3,0,330
Grumpig,326,Psychic,,80,45,65,90,110,80,3,0,470
Spinda,327,Normal,,60,60,60,60,60,60,3,0,360
Trapinch,328,Ground,,45,100,45,45,45,10,3,0,290
Vibrava,329,Ground,Dragon,50,70,50,50,50,70,3,0,340
Flygon,330,Ground,Dragon,80,100,80,80,80,100,3,0,520
Cacnea,331,Grass,,50,85,40,85,40,35,3,0,335
Cacturne,332,Grass,Dark,70,115,60,115,60,55,3,0,475
Swablu,333,Normal,Flying,45,40,60,40,75,50,3,0,310
Altaria,334,Dragon,Flying,75,70,90,70,105,80,3,0,490
AltariaMega Altaria,334,Dragon,Fairy,75,110,110,110,105,80,3,0,590
Zangoose,335,Normal,,73,115,60,60,60,90,3,0,458
Seviper,336,Poison,,73,100,60,100,60,65,3,0,458
Lunatone,337,Rock,Psychic,70,55,65,95,85,70,3,0,440
Solrock,338,Rock,Psychic,70,95,85,55,65,70,3,0,440
Barboach,339,Water,Ground,50,48,43,46,41,60,3,0,288
Whiscash,340,Water,Ground,110,78,73,76,71,60,3,0,468
Corphish,341,Water,,43,80,65,50,35,35,3,0,308
Crawdaunt,342,Water,Dark,63,120,85,90,55,55,3,0,468
Baltoy,343,Ground,Psychic,40,40,55,40,70,55,3,0,300
Claydol,344,Ground,Psychic,60,70,105,70,120,75,3,0,500
Lileep,345,Rock,Grass,66,41,77,61,87,23,3,0,355
Cradily,346,Rock,Grass,86,81,97,81,107,43,3,0,495
Anorith,347,Rock,Bug,45,95,50,40,50,75,3,0,355
Armaldo,348,Rock,Bug,75,125,100,70,80,45,3,0,495
Feebas,349,Water,,20,15,20,10,55,80,3,0,200
Milotic,350,Water,,95,60,79,100,125,81,3,0,540
Castform,351,Normal,,70,70,70,70,70,70,3,0,420
Kecleon,352,Normal,,60,90,70,60,120,40,3,0,440
Shuppet,353,Ghost,,44,75,35,63,33,45,3,0,295
Banette,354,Ghost,,64,115,65,83,63,65,3,0,455
BanetteMega Banette,354,Ghost,,64,165,75,93,83,75,3,0,555
Duskull,355,Ghost,,20,40,90,30,90,25,3,0,295
Dusclops,356,Ghost,,40,70,130,60,130,25,3,0,455
Tropius,357,Grass,Flying,99,68,83,72,87,51,3,0,460
Chimecho,358,Psychic,,65,50,70,95,80,65,3,0,425
Absol,359,Dark,,65,130,60,75,60,75,3,0,465
AbsolMega Absol,359,Dark,,65,150,60,115,60,115,3,0,565
Wynaut,360,Psychic,,95,23,48,23,48,23,3,0,260
Snorunt,361,Ice,,50,50,50,50,50,50,3,0,300
Glalie,362,Ice,,80,80,80,80,80,80,3,0,480
GlalieMega Glalie,362,Ice,,80,120,80,120,80,100,3,0,580
Spheal,363,Ice,Water,70,40,50,55,50,25,3,0,290
Sealeo,364,Ice,Water,90,60,70,75,70,45,3,0,410
Walrein,365,Ice,Water,110,80,90,95,90,65,3,0,530
Clamperl,366,Water,,35,64,85,74,55,32,3,0,345
Huntail,367,Water,,55,104,105,94,75,52,3,0,485
Gorebyss,368,Water,,55,84,105,114,75,52,3,0,485
Relicanth,369,Water,Rock,100,90,130,45,65,55,3,0,485
Luvdisc,370,Water,,43,30,55,40,65,97,3,0,330
Bagon,371,Dragon,,45,75,60,40,30,50,3,0,300
Shelgon,372,Dragon,,65,95,100,60,50,50,3,0,420
Salamence,373,Dragon,Flying,95,135,80,110,80,100,3,0,600
SalamenceMega Salamence,373,Dragon,Flying,95,145,130,120,90,120,3,0,700
Beldum,374,Steel,Psychic,40,55,80,35,60,30,3,0,300
Metang,375,Steel,Psychic,60,75,100,55,80,50,3,0,420
Metagross,376,Steel,Psychic,80,135,130,95,90,70,3,0,600
MetagrossMega Metagross,376,Steel,Psychic,80,145,150,105,110,110,3,0,700
Regirock,377,Rock,,80,100,200,50,100,50,3,1,580
Regice,378,Ice,,80,50,100,100,200,50,3,1,580
Registeel,379,Steel,,80,75,150,75,150,50,3,1,580
Latias,380,Dragon,Psychic,80,80,90,110,130,110,3,1,600
LatiasMega Latias,380,Dragon,Psychic,80,100,120,140,150,110,3,1,700
Latios,381,Dragon,Psychic,80,90,80,130,110,110,3,1,600
LatiosMega Latios,381,Dragon,Psychic,80,130,100,160,120,110,3,1,700
Kyogre,382,Water,,100,100,90,150,140,90,3,1,670
